,Country,Cases,Deaths,Recoveries
170,Faroe Islands,187,0,187
171,Angola,186,10,77
172,Gibraltar,176,0,176
173,Costa Atlantica,148,0,148
174,Bermuda,146,9,132
175,Burundi,144,1,93
176,Eritrea,143,0,39
177,Brunei,141,3,138
178,Cambodia,130,0,127
179,Greg Mortimer,128,1,No data
180,Trinidad and Tobago,117,8,109
181,Northern Cyprus,108,4,104
182,Bahamas,104,11,77
183,Aruba,101,3,98
184,Monaco,101,4,94
185,Artsakh,97,0,65
186,Barbados,97,7,85
187,Botswana,89,1,25
188,Liechtenstein,83,1,69
189,South Ossetia,83,0,45
190,Sint Maarten,77,15,62
191,U.S. Virgin Islands,76,6,64
192,Bhutan,69,0,32
193,Namibia,67,0,21
194,French Polynesia,60,0,60
195,Macau,45,0,45
196,The Gambia,41,2,26
197,Abkhazia,38,1,30
198,Northern Mariana Islands ,30,2,19
199,Saint Vincent,29,0,26
200,Antigua and Barbuda,26,3,22
201,Belize,23,2,17
202,Curaçao,23,1,19
203,East Timor,24,0,24
204,Grenada,23,0,23
205,New Caledonia,21,0,21
206,Laos,19,0,19
207,Saint Lucia,19,0,18
208,Dominica,18,0,18
209,Fiji,18,0,18
210,Saint Kitts and Nevis,15,0,15
211,Turks and Caicos Islands,14,1,11
212,Falkland Islands,13,0,13
213,Greenland,13,0,13
214,MS Zaandam,13,4,No data
215,Coral Princess,12,3,No data
216,Lesotho,12,0,2
217,Vatican City,12,0,12
218,Montserrat,11,1,10
219,Seychelles,11,0,11
220,Papua New Guinea,9,0,8
221,British Virgin Islands,8,1,7
222,HNLMS Dolfijn,8,0,8
223,Anguilla,3,0,3
224,Saba,3,0,3
225,Bonaire,2,0,2
226,Sint Eustatius,2,0,2
227,Saint Pierre and Miquelon,1,0,1
